"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","SLFCHG09","CSSRAT01","CSSRAT07","SUCCESS4","SUCCESS7","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","SATIS28","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","COLLGPA","Success_Latent","HistDisadv_fs","InstitEngage_fs"
4,4,5,4,4,4,4,3,1,1,5,2,3,3,2,3,5,2,1,1,5,2,3,1,0,1,14,6,2,1,1,5,4,7,5,6,6,4,1,3,-0.301184460322696,-0.624066347572589,-0.679737126289912
4,4,4,4,5,4,5,2,3,4,4,4,5,3,5,5,5,1,1,2,2,8,3,1,0,0,8,6,1,3,1,4,5,5,6,6,8,5,4,4,0.14050272419661,0.193908665267314,0.322123691661774
5,4,5,4,4,3,2,1,3,3,4,5,5,4,5,4,2,3,1,2,8,1,2,0,2,0,7,6,1,3,1,3,4,3,5,6,5,1,3,4,-0.458757647478396,0.379314679382434,0.330059702325946
4,4,4,4,4,4,2,2,2,4,4,4,4,2,4,4,3,2,1,1,8,2,2,0,0,0,14,6,1,3,1,4,3,3,4,6,6,4,3,4,-0.297088611476105,-0.685279984173218,-0.145991964820924
4,4,4,4,4,5,5,3,3,5,3,4,3,1,5,4,4,2,1,1,8,8,1,0,1,0,5,8,1,3,1,5,5,8,5,7,8,2,3,6,-0.140488137621743,0.461133591137649,-0.416742054779944
5,5,5,5,5,4,4,2,2,4,4,4,4,4,4,4,4,2,1,1,3,3,5,1,0,1,14,4,2,3,1,5,5,3,4,6,8,7,2,2,0.241054132372064,-0.624066347572589,0.0722670879072252
4,4,4,4,4,3,3,2,3,2,3,3,3,2,2,4,2,3,1,1,8,3,2,0,0,0,11,8,1,3,1,3,2,3,7,6,3,2,1,5,-0.297088611476105,-0.201032712632414,-0.95878519614271
5,5,5,5,5,5,5,3,3,3,5,3,5,3,5,5,4,2,1,2,8,6,5,1,1,0,14,6,2,3,1,5,3,13,8,5,6,3,3,6,0.637666740782074,-0.623530206853964,0.356486205556184
5,5,5,5,5,4,4,3,3,5,5,5,5,4,4,5,5,2,1,1,3,8,2,0,0,0,11,3,2,1,1,4,5,7,6,6,5,3,4,5,0.637666740782074,-0.304165128469162,0.552138723111021
5,5,5,5,5,3,4,3,3,5,5,3,5,5,5,5,5,1,1,1,8,8,1,0,0,0,14,5,2,3,1,4,5,3,4,6,7,7,2,4,0.637666740782074,-0.843756252641169,0.777132289684139
4,4,4,4,4,5,5,3,3,3,3,3,3,3,3,3,4,2,1,1,4,6,2,0,0,1,14,6,1,3,1,3,3,3,5,5,6,6,7,3,-0.301184460322696,-0.585491495018846,-0.632598113869689
5,5,5,5,5,4,5,3,3,5,5,5,5,5,5,5,5,3,1,1,6,3,3,1,1,1,11,7,2,3,1,5,5,2,6,8,5,5,4,5,0.637666740782074,-0.0608042369693879,0.777132289684139
5,4,5,4,5,4,4,3,3,4,4,4,4,3,5,4,3,3,1,1,8,3,5,1,2,0,1,7,2,3,2,3,3,2,3,6,4,4,2,4,0.120118371760654,0.952998860799096,0.0790016017521943
3,4,5,4,4,4,3,2,2,4,4,4,4,3,4,4,3,2,1,1,8,8,2,0,1,0,2,5,1,4,1,3,4,14,4,7,8,5,3,4,-0.297088611476105,0.72439249744186,-0.0368624384568492
5,5,5,5,5,3,4,2,3,5,4,5,5,4,5,5,4,3,1,1,2,2,3,1,1,1,5,5,1,3,1,5,5,15,4,6,8,4,5,4,0.436069280573343,0.621101831891414,0.532446733725752
4,4,4,4,4,3,4,2,3,4,4,4,3,3,2,4,3,2,1,1,1,5,5,1,2,1,10,8,2,3,1,3,3,5,5,6,6,6,4,4,-0.297088611476105,0.152515441215055,-0.511712608784516
4,4,4,4,4,3,3,3,2,2,4,3,4,4,3,5,5,2,1,2,8,1,4,1,2,0,5,5,1,3,1,3,4,13,5,7,3,1,1,5,0.0437666564572614,0.602969349285152,-0.245983983701624
