"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","SLFCHG09","CSSRAT01","CSSRAT07","SUCCESS4","SUCCESS7","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","SATIS28","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","COLLGPA","Success_Latent"
4,4,5,4,4,4,4,3,1,1,5,2,3,3,2,3,5,2,1,1,5,2,3,1,0,1,14,6,2,1,1,5,4,7,5,6,6,4,1,3,-0.301184460322696
4,4,4,4,5,4,5,2,3,4,4,4,5,3,5,5,5,1,1,2,2,8,3,1,0,0,8,6,1,3,1,4,5,5,6,6,8,5,4,4,0.14050272419661
5,4,5,4,4,3,2,1,3,3,4,5,5,4,5,4,2,3,1,2,8,1,2,0,2,0,7,6,1,3,1,3,4,3,5,6,5,1,3,4,-0.458757647478396
4,4,4,4,4,4,2,2,2,4,4,4,4,2,4,4,3,2,1,1,8,2,2,0,0,0,14,6,1,3,1,4,3,3,4,6,6,4,3,4,-0.297088611476105
4,4,4,4,4,5,5,3,3,5,3,4,3,1,5,4,4,2,1,1,8,8,1,0,1,0,5,8,1,3,1,5,5,8,5,7,8,2,3,6,-0.140488137621743
5,5,5,5,5,4,4,2,2,4,4,4,4,4,4,4,4,2,1,1,3,3,5,1,0,1,14,4,2,3,1,5,5,3,4,6,8,7,2,2,0.241054132372064
4,4,4,4,4,3,3,2,3,2,3,3,3,2,2,4,2,3,1,1,8,3,2,0,0,0,11,8,1,3,1,3,2,3,7,6,3,2,1,5,-0.297088611476105
5,5,5,5,5,5,5,3,3,3,5,3,5,3,5,5,4,2,1,2,8,6,5,1,1,0,14,6,2,3,1,5,3,13,8,5,6,3,3,6,0.637666740782074
5,5,5,5,5,4,4,3,3,5,5,5,5,4,4,5,5,2,1,1,3,8,2,0,0,0,11,3,2,1,1,4,5,7,6,6,5,3,4,5,0.637666740782074
5,5,5,5,5,3,4,3,3,5,5,3,5,5,5,5,5,1,1,1,8,8,1,0,0,0,14,5,2,3,1,4,5,3,4,6,7,7,2,4,0.637666740782074
4,4,4,4,4,5,5,3,3,3,3,3,3,3,3,3,4,2,1,1,4,6,2,0,0,1,14,6,1,3,1,3,3,3,5,5,6,6,7,3,-0.301184460322696
