"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","SLFCHG09","CSSRAT01","CSSRAT07","SUCCESS4","SUCCESS7","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","SATIS28","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","COLLGPA","Success_Latent","HistDisadv_fs"
4,4,5,4,4,4,4,3,1,1,5,2,3,3,2,3,5,2,1,1,5,2,3,1,0,1,14,6,2,1,1,5,4,7,5,6,6,4,1,3,-0.301184460322696,-0.624066347572589
4,4,4,4,5,4,5,2,3,4,4,4,5,3,5,5,5,1,1,2,2,8,3,1,0,0,8,6,1,3,1,4,5,5,6,6,8,5,4,4,0.14050272419661,0.193908665267314
5,4,5,4,4,3,2,1,3,3,4,5,5,4,5,4,2,3,1,2,8,1,2,0,2,0,7,6,1,3,1,3,4,3,5,6,5,1,3,4,-0.458757647478396,0.379314679382434
4,4,4,4,4,4,2,2,2,4,4,4,4,2,4,4,3,2,1,1,8,2,2,0,0,0,14,6,1,3,1,4,3,3,4,6,6,4,3,4,-0.297088611476105,-0.685279984173218
4,4,4,4,4,5,5,3,3,5,3,4,3,1,5,4,4,2,1,1,8,8,1,0,1,0,5,8,1,3,1,5,5,8,5,7,8,2,3,6,-0.140488137621743,0.461133591137649
5,5,5,5,5,4,4,2,2,4,4,4,4,4,4,4,4,2,1,1,3,3,5,1,0,1,14,4,2,3,1,5,5,3,4,6,8,7,2,2,0.241054132372064,-0.624066347572589
4,4,4,4,4,3,3,2,3,2,3,3,3,2,2,4,2,3,1,1,8,3,2,0,0,0,11,8,1,3,1,3,2,3,7,6,3,2,1,5,-0.297088611476105,-0.201032712632414
5,5,5,5,5,5,5,3,3,3,5,3,5,3,5,5,4,2,1,2,8,6,5,1,1,0,14,6,2,3,1,5,3,13,8,5,6,3,3,6,0.637666740782074,-0.623530206853964
5,5,5,5,5,4,4,3,3,5,5,5,5,4,4,5,5,2,1,1,3,8,2,0,0,0,11,3,2,1,1,4,5,7,6,6,5,3,4,5,0.637666740782074,-0.304165128469162
5,5,5,5,5,3,4,3,3,5,5,3,5,5,5,5,5,1,1,1,8,8,1,0,0,0,14,5,2,3,1,4,5,3,4,6,7,7,2,4,0.637666740782074,-0.843756252641169
4,4,4,4,4,5,5,3,3,3,3,3,3,3,3,3,4,2,1,1,4,6,2,0,0,1,14,6,1,3,1,3,3,3,5,5,6,6,7,3,-0.301184460322696,-0.585491495018846
5,5,5,5,5,4,5,3,3,5,5,5,5,5,5,5,5,3,1,1,6,3,3,1,1,1,11,7,2,3,1,5,5,2,6,8,5,5,4,5,0.637666740782074,-0.0608042369693879
5,4,5,4,5,4,4,3,3,4,4,4,4,3,5,4,3,3,1,1,8,3,5,1,2,0,1,7,2,3,2,3,3,2,3,6,4,4,2,4,0.120118371760654,0.952998860799096
3,4,5,4,4,4,3,2,2,4,4,4,4,3,4,4,3,2,1,1,8,8,2,0,1,0,2,5,1,4,1,3,4,14,4,7,8,5,3,4,-0.297088611476105,0.72439249744186
5,5,5,5,5,3,4,2,3,5,4,5,5,4,5,5,4,3,1,1,2,2,3,1,1,1,5,5,1,3,1,5,5,15,4,6,8,4,5,4,0.436069280573343,0.621101831891414
4,4,4,4,4,3,4,2,3,4,4,4,3,3,2,4,3,2,1,1,1,5,5,1,2,1,10,8,2,3,1,3,3,5,5,6,6,6,4,4,-0.297088611476105,0.152515441215055
4,4,4,4,4,3,3,3,2,2,4,3,4,4,3,5,5,2,1,2,8,1,4,1,2,0,5,5,1,3,1,3,4,13,5,7,3,1,1,5,0.0437666564572614,0.602969349285152
5,5,4,4,5,3,3,2,3,4,4,4,5,3,5,4,5,3,1,1,8,8,2,0,1,0,3,6,1,3,1,4,4,2,3,4,6,6,2,3,0.241054132372064,0.625243610978906
5,4,4,4,4,3,3,3,3,3,4,2,3,2,5,4,4,2,1,1,5,3,1,0,1,1,13,5,2,3,1,4,3,3,5,6,8,8,3,3,-0.140488137621743,-0.443241260909589
3,4,4,4,4,4,2,2,3,3,5,4,4,2,5,4,3,3,1,1,8,8,2,0,1,0,12,8,1,3,1,5,3,5,8,5,5,4,8,5,-0.297088611476105,-0.270170745264003
5,4,4,4,3,3,2,3,3,1,1,3,3,1,4,4,4,1,1,2,1,1,4,1,1,1,14,4,2,3,1,5,5,5,5,7,8,8,2,4,-0.391208831407869,-0.5268593626462
4,4,4,4,4,3,4,2,1,3,3,3,3,3,3,4,3,3,1,1,1,6,2,0,2,1,4,5,2,3,1,4,3,3,5,6,4,1,2,4,-0.297088611476105,0.63738670204398
4,5,5,5,4,4,5,3,3,4,4,4,5,2,2,4,2,2,1,1,8,2,2,0,0,0,14,8,2,3,1,5,5,14,7,7,5,3,3,5,0.145675190540327,-0.843756252641169
4,4,4,4,5,4,5,3,3,4,4,2,4,4,4,4,5,3,1,2,1,6,3,1,1,1,12,7,2,1,1,4,5,3,5,4,5,4,5,4,0.120118371760654,-0.212462042455848
4,4,4,4,5,4,3,2,2,3,4,4,4,4,4,4,3,2,1,2,2,8,2,0,0,0,4,7,1,3,1,4,3,12,5,7,4,3,3,6,-0.041180761757672,0.464199641462505
4,2,4,2,4,5,5,1,2,5,4,3,4,2,5,4,4,3,1,2,8,6,2,0,2,0,1,8,1,3,1,5,5,15,4,6,8,8,3,3,-0.898606528238283,0.960083365409393
5,4,5,5,4,4,4,3,3,2,5,5,4,4,4,4,3,3,1,2,6,2,3,1,1,1,4,8,1,1,1,5,5,3,4,6,4,3,1,5,-0.140488137621743,0.703514460734922
5,5,5,5,5,4,5,3,3,5,3,4,5,5,4,5,4,3,1,1,4,8,2,0,0,0,10,5,1,1,1,5,5,3,4,3,3,3,3,3,0.637666740782074,-0.0718436820365812
4,4,4,4,3,4,2,1,1,2,2,2,3,2,3,2,4,3,1,1,5,1,2,0,1,1,1,8,1,3,1,4,5,7,6,8,4,1,2,4,-0.942311991429329,0.994278070303419
5,4,5,4,4,3,4,2,3,4,3,2,4,4,5,5,4,3,1,2,2,2,3,1,1,1,10,5,2,3,1,1,4,9,5,5,5,5,1,5,-0.116465254366549,0.0704993261119914
4,3,4,4,3,5,5,1,3,2,2,1,4,1,3,2,4,1,1,2,3,8,5,1,0,0,5,8,2,3,1,3,5,16,2,5,8,8,1,5,-1.16946789391451,0.367555009752449
5,5,5,4,4,3,3,2,3,3,4,4,3,3,4,4,3,2,1,2,3,3,2,0,1,1,7,5,2,3,1,3,2,14,6,6,5,4,3,3,-0.0132023596756852,0.30575840803601
5,5,5,5,5,5,5,3,3,3,4,5,5,5,5,4,5,1,1,2,5,2,3,1,1,1,7,8,2,3,1,5,5,5,5,4,6,1,5,5,0.41816368219865,0.375018863561732
5,5,5,5,4,4,5,3,2,4,4,3,4,1,5,4,5,2,1,2,1,1,1,0,1,1,14,8,2,3,1,5,5,3,4,6,8,4,1,4,0.145675190540327,-0.61967410681606
4,4,5,4,4,4,4,3,3,3,3,5,4,3,4,3,3,3,1,2,8,2,2,0,2,0,12,5,1,3,1,3,3,14,7,6,8,4,3,4,-0.301184460322696,-0.18652061472194
5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,4,3,1,2,8,8,1,0,1,0,1,8,1,3,1,5,4,3,5,5,5,3,3,6,0.637666740782074,0.871263232513044
4,5,5,5,5,4,5,2,2,3,3,2,4,4,3,4,3,2,1,1,1,1,2,0,0,1,1,8,2,3,1,4,5,16,3,7,2,1,2,3,0.241054132372064,0.813554603155052
5,4,5,4,3,4,3,2,2,3,4,4,4,1,2,3,3,2,1,2,8,8,3,1,0,0,13,5,2,3,1,4,3,3,6,7,7,4,4,2,-0.683823890133,-0.532469998628272
4,5,5,5,5,4,3,3,3,4,4,5,5,5,5,5,4,2,1,2,3,6,1,0,0,1,13,6,2,3,1,2,4,5,5,8,8,6,1,3,0.637666740782074,-0.527806893650448
5,5,5,5,5,5,3,2,3,3,5,5,5,5,5,5,5,3,1,2,2,2,3,1,1,1,7,7,2,4,1,5,5,13,7,6,5,3,3,3,0.436069280573343,0.375018863561732
5,5,5,5,5,4,4,1,3,3,3,3,4,2,3,4,3,3,1,1,6,6,5,1,0,1,10,5,2,3,1,4,4,10,8,5,6,4,8,4,0.0746431384283489,-0.0105484618161797
5,4,5,5,5,3,5,3,3,5,5,5,5,4,3,5,5,3,1,1,1,1,2,0,1,1,4,5,2,3,1,2,5,4,6,7,5,1,2,3,0.310772166726024,0.557034603363158
4,4,5,5,5,4,4,3,3,4,4,3,4,3,4,4,3,2,1,1,8,6,2,0,1,0,4,6,1,3,1,4,5,14,7,6,5,1,4,5,0.120118371760654,0.54169234222313
5,3,4,3,4,4,3,2,1,2,5,1,4,2,3,3,4,3,1,1,8,8,2,0,2,0,2,8,1,3,1,4,4,9,7,5,7,4,1,3,-0.72069445431727,0.802087083702979
5,5,5,5,4,5,4,3,2,2,2,3,4,2,2,3,3,3,1,1,1,6,3,1,0,1,5,4,2,4,1,3,4,3,5,6,2,1,1,5,-0.018132364969469,0.45970118109661
5,5,5,4,5,4,4,3,3,5,4,4,5,5,5,5,3,2,1,1,2,8,3,1,1,0,13,7,2,4,1,4,5,7,5,7,6,4,3,5,0.637666740782074,-0.449199229444405
5,5,5,5,5,4,5,2,2,5,5,3,5,5,5,3,5,3,2,2,8,6,4,1,0,0,14,8,2,4,1,5,5,3,6,7,3,1,3,2,0.0750328960275498,-0.728365218352972
4,4,4,4,4,3,2,3,3,3,4,4,4,2,5,4,2,2,1,1,3,3,1,0,1,1,4,3,2,3,1,2,1,16,2,5,5,4,4,3,-0.140488137621743,0.557034603363158
4,5,5,5,2,5,5,3,3,5,5,4,5,5,5,5,2,2,1,1,8,8,2,0,1,0,5,8,1,3,1,5,4,9,7,6,5,4,1,5,-0.140141442548174,0.461133591137649
4,4,5,3,3,4,4,3,3,4,4,5,4,4,4,4,4,2,1,1,6,4,2,0,1,1,1,5,2,3,1,4,3,12,4,7,5,1,3,4,-0.391208831407869,0.907377876299525
4,4,4,4,5,3,3,2,3,2,3,3,3,3,3,3,4,2,1,2,6,6,2,0,1,1,5,6,2,3,1,4,2,3,4,4,5,4,4,4,-0.199694667385027,0.472701504546702
5,5,5,5,3,4,1,1,3,2,3,3,4,2,2,2,5,3,1,2,6,8,2,0,1,0,8,7,1,1,1,4,4,5,4,6,8,5,1,3,-0.644394132160713,0.204307782485824
5,5,5,5,5,4,5,3,3,4,4,3,5,4,5,4,3,2,1,1,3,6,1,0,0,1,14,5,2,3,1,4,3,13,8,8,8,7,1,5,0.41816368219865,-0.725980053113619
4,4,5,4,5,4,5,3,3,5,4,3,4,4,5,5,4,2,2,1,2,2,3,1,2,1,5,5,2,3,1,2,5,7,4,6,6,4,3,5,0.310772166726024,0.62130547351084
4,4,5,4,4,4,5,3,3,4,3,3,4,4,4,4,3,2,1,2,6,3,2,0,0,1,14,8,2,3,1,3,4,10,8,8,8,1,4,5,-0.140488137621743,-0.725980053113619
4,4,4,4,4,3,3,2,2,3,4,4,4,4,4,4,3,2,1,1,8,8,2,0,0,0,8,8,1,3,1,5,4,2,8,8,5,1,5,4,-0.297088611476105,0.126881677796713
4,4,4,4,4,3,5,2,3,3,4,3,4,3,1,3,4,2,1,1,2,2,2,0,1,1,4,7,2,2,1,4,5,14,8,5,5,2,3,3,-0.452292440038533,0.557034603363158
5,5,5,5,3,4,4,2,3,5,5,3,5,3,5,5,3,2,1,1,1,1,3,1,1,1,5,7,1,4,1,3,4,8,7,6,6,5,2,4,-0.0883517171562233,0.621101831891414
5,5,4,4,4,3,5,3,3,4,2,3,3,4,4,3,4,3,1,1,8,8,3,1,0,0,9,6,1,1,1,5,4,16,5,6,3,1,1,5,-0.018132364969469,0.103660419190147
5,4,5,4,4,4,4,3,3,5,5,4,5,5,5,5,4,1,1,1,8,8,2,0,1,0,12,8,2,3,1,3,3,2,4,4,3,4,4,4,0.0437666564572614,-0.377238302940992
4,4,4,4,4,3,3,3,3,2,4,3,3,3,4,4,3,2,1,1,6,6,2,0,2,1,3,7,1,3,1,3,2,5,4,4,6,4,2,5,-0.140488137621743,0.803479651970833
5,5,4,5,4,5,5,3,2,3,4,5,5,3,5,4,4,2,1,1,8,8,4,1,0,0,5,8,1,3,1,5,5,2,8,7,4,1,3,5,0.145675190540327,0.448791370662436
4,2,4,2,5,3,4,2,3,2,4,5,2,4,2,2,4,2,1,2,3,3,3,1,2,1,4,8,2,3,1,4,4,3,5,5,6,5,5,4,-0.752596840600098,0.705330151387125
4,4,4,4,3,3,4,2,3,2,2,2,2,2,2,2,4,3,1,1,8,8,5,1,1,0,8,3,2,3,1,2,4,7,6,6,5,3,4,4,-0.794731080507926,0.184964047372805
4,4,5,4,4,3,4,2,2,4,4,3,3,3,1,4,2,3,1,1,6,3,1,0,2,1,5,5,2,3,1,2,5,4,4,6,3,2,3,3,-0.297088611476105,0.553240197103375
5,5,5,5,4,3,4,2,3,4,5,4,5,4,5,5,4,3,1,1,8,6,3,1,1,0,10,6,2,3,1,5,3,10,5,7,4,2,1,4,0.165419658719498,-0.016110932154278
5,5,5,5,5,3,3,2,3,3,4,3,4,5,4,3,4,2,1,2,6,2,3,1,1,1,3,4,2,3,1,3,4,8,4,6,5,5,3,4,0.0750328960275498,0.713011932485375
5,5,5,5,4,4,4,2,2,3,4,4,3,4,3,3,4,2,1,1,8,8,2,0,1,0,12,7,1,3,1,4,2,8,6,7,3,1,2,4,-0.168343681945206,-0.270170745264003
5,5,5,4,4,4,4,3,3,4,4,4,5,4,4,4,4,2,1,1,8,8,2,0,0,0,12,4,1,1,1,3,4,14,4,6,4,2,2,4,0.145675190540327,-0.352805705438926
4,4,5,5,4,5,3,3,2,4,4,4,4,2,4,4,3,1,1,2,8,3,1,0,1,0,8,7,2,3,1,5,3,15,4,6,5,4,2,5,-0.140488137621743,0.116090201230501
4,4,5,4,4,4,4,3,2,3,3,2,4,4,4,4,3,2,1,1,8,6,2,0,1,0,8,7,2,3,1,5,4,9,5,7,3,1,1,5,-0.140488137621743,0.116090201230501
4,4,4,4,4,3,4,2,2,2,3,3,4,4,4,4,4,2,1,2,1,1,3,1,1,1,3,7,2,3,1,3,5,6,6,5,4,4,2,4,-0.297088611476105,0.713011932485375
5,5,5,5,5,5,5,3,3,5,4,1,5,4,4,5,4,2,1,2,1,1,3,1,1,1,8,8,2,3,1,5,5,8,8,7,5,3,3,5,0.637666740782074,0.273687862489331
4,4,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,2,1,1,3,8,3,1,1,0,5,5,1,3,1,3,4,13,3,4,3,1,1,4,-0.452292440038533,0.526237563457085
4,5,5,5,5,3,5,2,3,4,5,3,3,4,5,5,4,2,1,1,2,1,3,1,1,1,4,8,2,3,1,3,4,3,4,5,6,3,1,3,0.436069280573343,0.624878688453045
4,3,4,3,5,5,5,3,3,5,3,2,3,2,5,4,2,3,1,2,2,2,3,1,1,1,5,7,2,3,1,4,4,13,6,5,6,1,6,5,-0.201110937816515,0.540853588521075
5,4,5,4,4,3,3,3,2,3,4,5,4,4,5,4,2,2,1,1,6,6,1,0,1,1,9,3,2,3,1,2,3,5,4,5,3,1,1,3,-0.140488137621743,0.109350976717088
4,4,5,4,4,5,2,2,3,5,4,4,4,4,4,5,2,2,1,1,3,8,1,0,1,0,11,8,2,3,1,5,3,5,6,6,5,2,1,3,-0.116465254366549,-0.220976828316849
4,4,5,4,2,3,3,2,3,2,2,4,3,3,1,4,1,3,1,1,6,2,5,1,2,1,7,8,2,1,1,4,3,4,4,7,8,1,4,5,-0.728619040292891,0.455952139878895
