"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","CSSRAT01","CSSRAT07","SUCCESS4","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","HistDisadv"
4,4,5,4,4,4,3,1,5,2,3,3,2,5,2,1,1,5,2,3,1,0,1,14,6,2,1,1,5,4,7,5,6,6,4,1,-0.611197569168275
4,4,4,4,4,5,2,4,4,4,5,3,5,5,1,1,2,2,8,3,1,0,0,8,6,1,3,1,4,5,5,6,6,8,5,4,0.192972588496794
5,4,5,4,3,2,1,3,4,5,5,4,5,2,3,1,2,8,1,2,0,2,0,7,6,1,3,1,3,4,3,5,6,5,1,3,0.375539803597734
4,4,4,4,4,2,2,4,4,4,4,2,4,3,2,1,1,8,2,2,0,0,0,14,6,1,3,1,4,3,3,4,6,6,4,3,-0.658970287281948
4,4,4,4,5,5,3,5,3,4,3,1,5,4,2,1,1,8,8,1,0,2,0,5,8,1,3,1,5,5,6,5,7,8,2,3,0.527258795787711
5,5,5,5,4,4,2,4,4,4,4,4,4,4,2,1,1,3,3,5,1,0,1,14,4,2,3,1,5,5,3,4,6,8,7,2,-0.611197569168275
4,4,4,4,3,3,2,2,3,3,3,2,2,2,3,1,1,8,3,2,0,0,0,11,8,1,3,1,3,2,3,7,6,3,2,1,-0.190470404091045
5,5,5,5,5,5,3,3,5,3,5,3,5,4,2,1,2,8,6,5,1,1,0,14,6,2,3,1,5,3,13,8,5,6,3,3,-0.604459600100412
5,5,5,5,4,4,3,5,5,5,5,4,4,5,2,1,1,3,8,2,0,0,0,11,3,2,1,1,4,5,7,6,6,5,3,4,-0.292714586252046
5,5,5,5,3,4,3,5,5,3,5,5,5,5,1,1,1,8,8,1,0,0,0,14,5,2,3,1,4,5,3,4,6,7,7,2,-0.816975370790688
4,4,4,4,5,5,3,3,3,3,3,3,3,4,2,1,1,4,6,2,0,0,1,14,6,1,3,1,3,3,3,5,5,6,6,7,-0.567110495666858
5,5,5,5,4,5,3,5,5,5,5,5,5,5,3,1,1,6,3,3,1,1,1,11,7,2,3,1,5,5,2,6,8,5,5,4,-0.0617836717056655
5,4,5,4,4,4,3,4,4,4,4,3,5,3,3,1,1,8,3,5,1,2,0,1,7,2,3,2,3,3,2,3,6,4,4,2,0.925239069195247
3,4,5,4,4,3,2,4,4,4,4,3,4,3,2,1,1,8,8,2,0,1,0,2,5,1,4,1,3,4,14,4,7,8,5,3,0.705030028719265
5,5,5,5,3,4,2,5,4,5,5,4,5,4,3,1,1,2,2,3,1,1,1,5,5,1,3,1,5,5,15,4,6,8,4,5,0.599922298599849
4,4,4,4,3,4,2,4,4,4,3,3,2,3,2,1,1,1,5,5,1,2,1,10,8,2,3,1,3,3,5,5,6,6,6,4,0.145268840318003
4,4,4,4,3,3,3,2,4,3,4,4,3,5,2,1,2,8,1,4,1,2,0,5,5,1,3,1,3,4,13,5,7,3,1,1,0.588413718568093
5,5,4,4,3,3,2,4,4,4,5,3,5,5,3,1,1,8,8,2,0,1,0,3,6,1,3,1,4,4,2,3,4,6,6,2,0.610230807229778
5,4,4,4,3,3,3,3,4,2,3,2,5,4,2,1,1,5,3,1,0,1,1,13,5,2,3,1,4,3,3,5,6,8,8,3,-0.431829612299917
3,4,4,4,4,2,2,3,5,4,4,2,5,3,3,1,1,8,8,2,0,1,0,12,8,1,3,1,5,3,5,8,5,5,4,8,-0.256556846362677
5,4,4,4,3,2,3,1,1,3,3,1,4,4,1,1,2,1,1,4,1,1,1,14,4,2,3,1,5,5,5,5,7,8,8,2,-0.514956916448811
4,4,4,4,3,4,2,3,3,3,3,3,3,3,3,1,1,1,6,2,0,2,1,4,5,2,3,1,4,3,3,5,6,4,1,2,0.61612407209335
4,5,5,5,4,5,3,4,4,4,5,2,2,2,2,1,1,8,2,2,0,0,0,14,8,2,3,1,5,5,14,7,7,5,3,3,-0.816975370790688
4,4,4,4,4,5,3,4,4,2,4,4,4,5,3,1,2,1,6,3,1,1,1,12,7,2,1,1,4,5,3,5,4,5,4,5,-0.209033903786619
4,4,4,4,4,3,2,3,4,4,4,4,4,3,2,1,2,2,8,2,0,1,0,4,7,1,3,1,4,3,12,5,7,4,3,3,0.528745792156463
